Rank,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP
1,Logan Webb,SFG,32,32,201.0,12,11,21,0,0,201,77,17,175,45,7.82,2.02,3.87,0.75,0.255,1.22,0.308,0.723,3.43,3.29,100.2
2,Logan Gilbert,SEA,32,32,198.2,12,11,20,0,0,176,76,25,208,43,9.42,1.95,4.83,1.14,0.232,1.1,0.288,0.745,3.43,3.46,26.0
3,Zack Wheeler,PHI,32,32,198.2,13,9,21,0,0,171,73,23,212,51,9.63,2.31,4.17,1.04,0.228,1.12,0.288,0.748,3.33,3.43,21.0
4,Tarik Skubal,DET,32,32,196.1,13,9,22,0,0,160,64,20,228,45,10.48,2.06,5.08,0.92,0.218,1.05,0.289,0.763,2.93,2.98,13.9
5,Kevin Gausman,TOR,32,32,193.1,12,11,18,0,0,183,84,26,192,55,8.96,2.54,3.53,1.19,0.243,1.23,0.294,0.728,3.92,3.82,171.1
6,Pablo López,MIN,32,32,193.0,12,11,19,0,0,177,78,24,203,48,9.44,2.23,4.22,1.11,0.239,1.17,0.298,0.7340000000000001,3.63,3.55,67.0
7,José Berríos,TOR,32,32,191.1,11,12,16,0,0,194,92,28,166,53,7.81,2.51,3.11,1.31,0.257,1.29,0.296,0.7140000000000001,4.31,4.32,238.1
8,Seth Lugo,KCR,31,31,190.1,11,11,17,0,0,194,88,23,166,54,7.83,2.53,3.09,1.11,0.259,1.3,0.305,0.711,4.15,3.99,188.7
9,Corbin Burnes,ARI,31,31,190.0,12,10,18,0,0,178,78,20,193,54,9.13,2.54,3.6,0.95,0.243,1.22,0.304,0.722,3.69,3.47,38.0
10,Dylan Cease,SDP,32,32,189.0,13,10,18,0,0,155,73,22,224,70,10.68,3.36,3.18,1.07,0.218,1.19,0.285,0.754,3.48,3.55,47.1
11,Gerrit Cole,NYY,31,31,189.0,12,10,17,0,0,175,84,29,197,53,9.37,2.53,3.7,1.37,0.238,1.21,0.287,0.735,3.99,4.02,59.8
12,Sandy Alcantara,MIA,29,29,188.2,10,11,18,0,0,187,80,21,170,48,8.11,2.27,3.58,1.0,0.254,1.24,0.305,0.718,3.81,3.69,163.5
13,Paul Skenes,PIT,31,31,188.0,13,9,21,0,0,147,59,16,241,55,11.55,2.64,4.37,0.75,0.212,1.08,0.3,0.762,2.8,2.68,11.3
14,Aaron Nola,PHI,31,31,187.2,12,10,17,0,0,179,80,26,185,45,8.88,2.15,4.13,1.27,0.245,1.19,0.293,0.733,3.85,3.84,86.3
