Rank,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP
1,Luis Arraez,SDP,149,687,633,194,33,2,10,88,61,41,42,6,8,2,0.06,0.062,0.106,0.314,0.306,0.352,0.412,0.765,0.332,117,196.3
2,Trea Turner,PHI,150,686,631,175,35,2,23,96,78,42,132,6,24,4,0.061,0.192,0.17,0.316,0.277,0.326,0.447,0.774,0.334,114,25.5
3,Jose Altuve,HOU,150,695,623,167,32,1,22,97,72,57,120,8,19,5,0.08199999999999999,0.172,0.163,0.298,0.268,0.334,0.431,0.766,0.333,120,60.3
4,Marcus Semien,TEX,150,695,623,159,30,3,25,96,73,60,106,5,12,3,0.087,0.153,0.177,0.271,0.255,0.324,0.432,0.756,0.328,114,99.7
5,Ezequiel Tovar,COL,150,662,622,161,36,3,23,78,82,29,170,5,11,4,0.043,0.257,0.18,0.318,0.259,0.295,0.439,0.734,0.315,88,128.7
6,Jarren Duran,BOS,150,688,622,164,39,8,19,98,71,53,158,6,31,6,0.077,0.23,0.181,0.323,0.263,0.325,0.444,0.769,0.332,111,21.5
7,Luis Robert Jr.,CHW,150,674,620,151,31,1,29,84,84,40,193,8,27,7,0.059000000000000004,0.28600000000000003,0.191,0.304,0.244,0.297,0.435,0.732,0.314,104,84.3
8,Bobby Witt Jr.,KCR,150,679,617,182,36,8,31,108,96,50,106,6,36,11,0.07400000000000001,0.156,0.234,0.313,0.296,0.352,0.529,0.881,0.373,142,1.6
9,Masyn Winn,STL,150,676,616,162,31,4,18,87,67,49,113,4,16,4,0.07200000000000001,0.166,0.151,0.294,0.262,0.319,0.414,0.733,0.318,105,147.7
10,Julio Rodríguez,SEA,150,677,613,169,29,2,30,94,88,48,155,9,28,7,0.071,0.23,0.2,0.321,0.275,0.335,0.475,0.81,0.348,135,13.9
11,Steven Kwan,CLE,150,695,612,174,30,4,13,94,62,71,71,6,19,4,0.102,0.102,0.129,0.301,0.284,0.361,0.413,0.774,0.34,124,147.8
12,Yandy Díaz,TBR,150,694,610,177,33,1,20,97,70,70,104,7,3,1,0.10099999999999999,0.15,0.155,0.321,0.29,0.368,0.445,0.813,0.355,138,204.3
13,Lawrence Butler,ATH,149,672,609,156,30,2,29,93,78,53,153,3,21,4,0.079,0.228,0.199,0.294,0.256,0.317,0.455,0.772,0.333,122,67.7
14,Jackson Chourio,MIL,149,668,608,163,31,3,28,94,81,48,136,5,26,7,0.07200000000000001,0.203,0.199,0.301,0.268,0.325,0.467,0.791,0.339,117,16.5
15,Bo Bichette,TOR,144,658,608,170,33,2,21,87,74,39,125,5,11,3,0.059000000000000004,0.18899999999999997,0.164,0.319,0.279,0.325,0.442,0.767,0.331,118,127.3
16,Francisco Lindor,NYM,150,688,608,156,31,2,28,100,81,63,131,10,24,5,0.091,0.19,0.194,0.284,0.257,0.335,0.451,0.786,0.34,122,15.2
17,Fernando Tatis Jr.,SDP,150,679,607,168,34,2,38,106,101,58,142,7,19,5,0.085,0.209,0.25,0.302,0.277,0.345,0.527,0.872,0.372,144,10.6
18,Brenton Doyle,COL,150,660,604,148,26,4,23,83,72,44,186,5,29,7,0.067,0.282,0.173,0.312,0.245,0.3,0.418,0.718,0.311,86,76.6
19,Austin Riley,ATL,150,671,601,160,31,2,32,95,95,55,163,9,2,1,0.08199999999999999,0.243,0.218,0.313,0.267,0.335,0.485,0.821,0.352,126,29.7
20,Bryan Reynolds,PIT,149,675,600,157,29,3,24,90,80,59,150,9,9,3,0.08800000000000001,0.222,0.18,0.309,0.262,0.335,0.442,0.777,0.336,114,98.0
21,José Ramírez,CLE,150,672,599,167,37,2,31,99,95,63,82,4,31,7,0.094,0.122,0.223,0.278,0.279,0.349,0.502,0.851,0.357,136,5.0
22,Gleyber Torres,DET,150,674,599,154,30,1,18,82,67,64,120,4,9,3,0.096,0.17800000000000002,0.146,0.293,0.258,0.332,0.403,0.735,0.323,112,222.9
23,Gunnar Henderson,BAL,150,684,597,164,30,5,34,108,91,75,146,6,18,5,0.109,0.214,0.241,0.307,0.274,0.358,0.515,0.873,0.374,149,6.1
24,Jackson Merrill,SDP,150,641,594,165,31,5,25,80,90,38,106,4,14,4,0.059000000000000004,0.166,0.196,0.3,0.278,0.323,0.474,0.797,0.341,123,25.4
25,Corbin Carroll,ARI,150,682,593,156,27,11,26,106,81,72,126,10,41,9,0.105,0.185,0.212,0.291,0.263,0.35,0.474,0.824,0.356,127,9.3
26,Shohei Ohtani,LAD,150,689,592,166,30,5,43,123,104,85,159,6,34,9,0.124,0.231,0.286,0.311,0.28,0.373,0.566,0.94,0.394,156,1.6
27,Mookie Betts,LAD,150,685,592,164,34,3,29,109,89,80,95,6,15,4,0.11699999999999999,0.138,0.217,0.286,0.278,0.367,0.495,0.862,0.37,140,12.6
28,Elly De La Cruz,CIN,150,664,591,150,31,7,26,93,87,62,192,5,53,15,0.094,0.289,0.206,0.328,0.253,0.327,0.459,0.787,0.338,111,4.5
